x,y,heading,kappa,v,d_left,d_right
40.99440,-0.62596,1.31498,-0.00049,8.00000,1.65000,0.50000
41.21209,0.20570,1.31460,-0.00045,8.00000,1.67500,0.52500
41.43009,1.03728,1.31425,-0.00041,8.00000,1.65000,0.50000
41.64837,1.86877,1.31392,-0.00038,8.00000,1.65000,0.47500
41.86690,2.70020,1.31362,-0.00035,8.00000,1.62500,0.52500
42.08568,3.53156,1.31334,-0.00033,8.00000,1.65000,0.50000
42.30468,4.36287,1.31308,-0.00031,8.00000,1.67500,0.52500
42.52389,5.19413,1.31284,-0.00029,8.00000,1.62500,0.50000
42.74330,6.02533,1.31260,-0.00028,8.00000,1.65000,0.50000
42.96290,6.85649,1.31238,-0.00027,8.00000,1.62500,0.52500
43.18269,7.68761,1.31216,-0.00026,8.00000,1.65000,0.50000
43.40265,8.51868,1.31195,-0.00025,8.00000,1.67500,0.52500
43.62278,9.34972,1.31174,-0.00025,8.00000,1.62500,0.50000
43.84310,10.18071,1.31153,-0.00026,8.00000,1.65000,0.50000
44.06358,11.01166,1.31132,-0.00026,8.00000,1.67500,0.52500
44.28425,11.84257,1.31110,-0.00028,8.00000,1.65000,0.50000
44.50511,12.67344,1.31087,-0.00029,8.00000,1.67500,0.52500
44.72617,13.50425,1.31062,-0.00032,8.00000,1.65000,0.50000
44.94745,14.33502,1.31034,-0.00035,8.00000,1.65000,0.50000
45.16896,15.16572,1.31004,-0.00039,8.00000,1.67500,0.52500
45.39074,15.99636,1.30971,-0.00043,8.00000,1.65000,0.50000
45.61282,16.82693,1.30933,-0.00049,8.00000,1.67500,0.52500
45.83523,17.65741,1.30889,-0.00057,8.00000,1.65000,0.50000
46.05803,18.48778,1.30839,-0.00065,8.00000,1.67500,0.52500
46.28127,19.31801,1.30782,-0.00075,8.00000,1.65000,0.50000
46.50500,20.14803,1.30715,-0.00086,8.00000,1.67500,0.52500
46.72929,20.97781,1.30639,-0.00099,8.00000,1.65000,0.50000
46.95424,21.80732,1.30553,-0.00111,8.00000,1.67500,0.52500
47.17992,22.63656,1.30457,-0.00123,8.00000,1.70000,0.50000
47.40644,23.46554,1.30352,-0.00131,8.00000,1.67500,0.47500
47.63387,24.29435,1.30631,0.00811,8.00000,1.70000,0.50000
47.85584,25.12488,1.31684,0.01754,8.00000,1.67500,0.47500
48.06598,25.95912,1.33643,0.03022,8.00000,1.67500,0.52500
48.25566,26.79949,1.36639,0.04293,8.00000,1.60000,0.57500
48.41612,27.64816,1.40670,0.05573,7.88247,1.55000,0.60000
48.53848,28.50753,1.45729,0.06870,7.54073,1.45000,0.72500
48.61369,29.38122,1.51792,0.08196,7.20533,1.32500,0.90000
