x,y,heading,kappa,v,d_left,d_right
25.81579,57.38086,2.81292,0.08553,7.14367,1.68257,0.51209
24.97489,57.63583,2.87952,0.08066,7.47365,1.65818,0.53647
24.10840,57.83887,2.94156,0.07615,7.78190,1.53625,0.68278
23.23171,57.98925,3.00017,0.07190,8.00000,1.43871,0.75594
22.35482,58.08853,3.05592,0.06783,8.00000,1.36556,0.85347
21.47817,58.13985,3.10875,0.06393,8.00000,1.36556,0.85347
20.59772,58.14626,-3.12482,0.06015,8.00000,1.46310,0.75594
19.71444,58.11026,-3.07838,0.05645,8.00000,1.58503,0.63401
18.84117,58.03507,-3.03447,0.05285,8.00000,1.65818,0.53647
17.98308,57.92408,-2.99287,0.04939,8.00000,1.70695,0.48770
17.12840,57.77844,-2.95415,0.04597,8.00000,1.73134,0.48770
16.27130,57.59940,-2.91745,0.04528,8.00000,1.70695,0.53647
15.41811,57.38855,-2.88144,0.04462,8.00000,1.60941,0.60962
14.57452,57.14774,-2.84586,0.04404,8.00000,1.56064,0.65840
13.74221,56.87796,-2.81062,0.04354,8.00000,1.51187,0.68278
12.92161,56.57978,-2.77567,0.04313,8.00000,1.46310,0.70717
12.11333,56.25380,-2.74094,0.04283,8.00000,1.46310,0.70717
11.31805,55.90058,-2.70637,0.04263,8.00000,1.46310,0.73155
10.53637,55.52058,-2.67186,0.04256,8.00000,1.38994,0.78032
9.76909,55.11428,-2.63733,0.04260,8.00000,1.34118,0.80471
9.01738,54.68232,-2.60267,0.04275,8.00000,1.26802,0.92663
8.28253,54.22537,-2.56777,0.04302,8.00000,1.21925,0.97540
7.56579,53.74406,-2.53255,0.04336,8.00000,1.12171,1.04856
6.86839,53.23901,-2.49691,0.04378,8.00000,1.07294,1.17048
6.19159,52.71087,-2.46081,0.04425,8.00000,0.92663,1.24364
5.53706,52.16069,-2.42416,0.04475,8.00000,0.85347,1.36556
4.90682,51.58987,-2.38689,0.04525,8.00000,0.73155,1.43871
4.30277,50.99994,-2.34896,0.04572,8.00000,0.68278,1.51187
3.72673,50.39258,-2.31032,0.04615,8.00000,0.60962,1.60941
3.18038,49.76953,-2.27093,0.04654,8.00000,0.48770,1.68257
2.66500,49.13240,-2.23079,0.04691,8.00000,0.43893,1.68257
2.18075,48.48150,-2.19081,0.04520,8.00000,0.48770,1.70695
1.72304,47.81300,-2.15225,0.04353,8.00000,0.56085,1.63380
1.28659,47.12104,-2.11556,0.04174,8.00000,0.60962,1.60941
0.86937,46.40412,-2.08095,0.03980,8.00000,0.65840,1.53625
0.47107,45.66360,-2.04849,0.03773,8.00000,0.73155,1.43871
0.09183,44.90213,-2.01817,0.03553,8.00000,0.85347,1.38994
-0.26810,44.12309,-1.98995,0.03325,8.00000,0.97540,1.24364
-0.60845,43.33043,-1.96374,0.03097,8.00000,1.12171,1.07294
-0.92943,42.52757,-1.93942,0.02875,8.00000,1.24364,0.97540
-1.23184,41.71660,-1.91689,0.02662,8.00000,1.36556,0.85347
-1.51671,40.89900,-1.89606,0.02460,8.00000,1.43871,0.75594
-1.78509,40.07608,-1.87681,0.02272,8.00000,1.51187,0.65840
-2.03804,39.24890,-1.85901,0.02101,8.00000,1.56064,0.65840
-2.27658,38.41828,-1.84252,0.01948,8.00000,1.60941,0.56085
-2.50170,37.58469,-1.82718,0.01814,8.00000,1.68257,0.51209
-2.71432,36.74847,-1.81284,0.01700,8.00000,1.68257,0.51209
-2.91519,35.90988,-1.79934,0.01607,8.00000,1.68257,0.48770
-3.10495,35.06910,-1.78651,0.01534,8.00000,1.73134,0.48770
-3.28410,34.22627,-1.77419,0.01480,8.00000,1.70695,0.46332
-3.45302,33.38146,-1.76212,0.01474,8.00000,1.68257,0.48770
-3.61174,32.53470,-1.75002,0.01486,8.00000,1.68257,0.53647
-3.76019,31.68597,-1.73776,0.01515,8.00000,1.63380,0.56085
-3.89815,30.83526,-1.72519,0.01560,8.00000,1.56064,0.63401
-4.02530,29.98255,-1.71221,0.01619,8.00000,1.48748,0.70717
-4.14123,29.12776,-1.69871,0.01689,8.00000,1.41433,0.78032
-4.24544,28.27089,-1.68460,0.01769,8.00000,1.31679,0.85347
-4.33728,27.41258,-1.66982,0.01855,8.00000,1.21925,0.97540
-4.41601,26.55407,-1.65432,0.01941,8.00000,1.14610,1.07294
-4.48094,25.69661,-1.63810,0.02020,8.00000,1.07294,1.17048
-4.53147,24.84117,-1.62123,0.02088,8.00000,0.97540,1.26802
-4.56717,23.98812,-1.60379,0.02140,8.00000,0.90224,1.31679
-4.58773,23.13691,-1.58594,0.02178,8.00000,0.82909,1.38994
-4.59293,22.28692,-1.56780,0.02200,8.00000,0.78032,1.43871
-4.58264,21.43792,-1.54953,0.02205,8.00000,0.78032,1.43871
-4.55684,20.58973,-1.53130,0.02190,8.00000,0.75594,1.46310
-4.51563,19.74208,-1.51327,0.02156,8.00000,0.75594,1.41433
-4.45920,18.89427,-1.49562,0.02104,8.00000,0.80471,1.43871
-4.38783,18.04535,-1.47851,0.02036,8.00000,0.82909,1.36556
-4.30194,17.19500,-1.46209,0.01951,8.00000,0.92663,1.29241
-4.20211,16.34360,-1.44647,0.01852,8.00000,0.97540,1.19487
-4.08910,15.49186,-1.43175,0.01741,8.00000,1.07294,1.12171
-3.96380,14.64073,-1.41799,0.01623,8.00000,1.14610,1.04856
-3.82715,13.79100,-1.40521,0.01501,8.00000,1.24364,0.95102
-3.68006,12.94291,-1.39344,0.01377,8.00000,1.29241,0.90224
-3.52344,12.09654,-1.38268,0.01254,8.00000,1.34118,0.82909
-3.35816,11.25197,-1.37290,0.01135,8.00000,1.43871,0.78032
-3.18511,10.40928,-1.36409,0.01020,8.00000,1.46310,0.75594
-3.00512,9.56847,-1.35618,0.00912,8.00000,1.46310,0.70717
-2.81893,8.72938,-1.34912,0.00810,8.00000,1.53625,0.68278
-2.62722,7.89171,-1.34287,0.00716,8.00000,1.53625,0.63401
-2.43062,7.05527,-1.33736,0.00629,8.00000,1.58503,0.58524
-2.22972,6.21994,-1.33253,0.00550,8.00000,1.58503,0.60962
-2.02508,5.38558,-1.32831,0.00478,8.00000,1.63380,0.56085
-1.81718,4.55207,-1.32466,0.00414,8.00000,1.65818,0.51209
-1.60646,3.71930,-1.32151,0.00355,8.00000,1.65818,0.53647
-1.39332,2.88716,-1.31882,0.00302,8.00000,1.68257,0.51209
-1.17813,2.05557,-1.31654,0.00254,8.00000,1.70695,0.48770
-0.96121,1.22442,-1.31465,0.00209,8.00000,1.68257,0.51209
-0.74286,0.39363,-1.31310,0.00167,8.00000,1.73134,0.46332
-0.52338,-0.43686,-1.31189,0.00127,8.00000,1.70695,0.51209
-0.30302,-1.26714,-1.31101,0.00088,8.00000,1.73134,0.48770
-0.08205,-2.09728,-1.31030,0.00086,8.00000,1.68257,0.51209
0.13951,-2.92729,-1.30960,0.00084,8.00000,1.65818,0.53647
0.36164,-3.75716,-1.30892,0.00082,8.00000,1.68257,0.51209
0.58434,-4.58691,-1.30826,0.00079,8.00000,1.65818,0.53647
0.80758,-5.41655,-1.30763,0.00076,8.00000,1.68257,0.51209
1.03134,-6.24606,-1.30702,0.00073,8.00000,1.65818,0.48770
1.25561,-7.07547,-1.30644,0.00069,8.00000,1.68257,0.53647
1.48035,-7.90478,-1.30589,0.00065,8.00000,1.68257,0.51209
1.70554,-8.73399,-1.30537,0.00061,8.00000,1.70695,0.48770
1.93115,-9.56312,-1.30489,0.00056,8.00000,1.68257,0.51209
2.15715,-10.39216,-1.30445,0.00051,8.00000,1.70695,0.48770
2.38349,-11.22108,-1.30406,0.00045,8.00000,1.65818,0.48770
2.61012,-12.04988,-1.30373,0.00037,8.00000,1.68257,0.51209
2.83699,-12.87855,-1.30347,0.00027,8.00000,1.70695,0.48770
3.06402,-13.70711,-1.30329,0.00016,8.00000,1.68257,0.48770
3.29114,-14.53558,-1.30321,0.00004,8.00000,1.68257,0.51209
3.51827,-15.36396,-1.30324,-0.00012,8.00000,1.70695,0.48770
3.74531,-16.19235,-1.30343,-0.00035,8.00000,1.68257,0.48770
3.97217,-17.02101,-1.29855,0.01225,8.00000,1.68257,0.51209
4.20748,-17.84788,-1.28338,0.02482,8.00000,1.68257,0.51209
4.45987,-18.67086,-1.25793,0.03740,8.00000,1.65818,0.51209
4.73791,-19.48758,-1.22224,0.05007,8.00000,1.58503,0.60962
5.05063,-20.29651,-1.17638,0.06288,7.67281,1.51187,0.70717
5.40734,-21.09592,-1.12055,0.07593,7.33057,1.41433,0.82909
5.81435,-21.87655,-1.05444,0.08937,6.99377,1.26802,0.99979
6.27369,-22.62190,-0.97693,0.10335,6.66334,1.07294,1.14610
6.78446,-23.31338,-0.88621,0.11808,6.33976,0.92663,1.24364
7.34435,-23.93355,-0.77996,0.13396,6.02253,0.85347,1.41433
7.95179,-24.46808,-0.65561,0.15166,5.71001,0.63401,1.58503
8.59823,-24.89790,-0.50859,0.17223,5.40592,0.51209,1.70695
9.26243,-25.19877,-0.32981,0.19754,5.12922,0.48770,1.70695
9.93812,-25.35655,-0.11735,0.22039,4.84871,0.51209,1.70695
10.63100,-25.36011,0.12491,0.25521,4.84871,0.46332,1.75572
11.34085,-25.18042,0.33887,0.18891,4.84871,0.60962,1.68257
12.06730,-24.85386,0.47984,0.12971,5.27202,0.90224,1.43871
12.80159,-24.42025,0.56338,0.07258,5.76607,1.12171,1.14610
13.53360,-23.92764,0.59867,0.01585,6.30160,1.31679,0.90224
14.24653,-23.43453,0.58860,-0.04064,6.09397,1.48748,0.78032
14.92099,-23.00151,0.52805,-0.09719,5.62404,1.60941,0.58524
15.56314,-22.66656,0.40527,-0.15521,5.25052,1.70695,0.48770
16.23420,-22.43812,0.21980,-0.21764,5.25052,1.68257,0.48770
16.96543,-22.35327,0.03213,-0.17416,5.25052,1.65818,0.56085
17.75545,-22.38922,-0.10597,-0.13581,5.60019,1.46310,0.87786
18.60844,-22.52804,-0.20185,-0.09946,6.01927,1.12171,1.19487
